MU_code,Acai_production
1500107,5600
1500131,8000
1500206,12000
1500305,0
1500347,10000
1500404,4961
1500503,8000
1500602,8000
1500701,10000
1500800,4185
1500859,6271
1500909,6444
1500958,6000
1501006,6000
1501105,8800
1501204,5750
1501253,0
1501303,7000
1501402,4000
1501451,5600
1501501,3125
1501576,6000
1501600,11700
1501709,6000
1501725,6000
1501758,6000
1501782,10083
1501808,7715
1501907,11379
1501956,4500
1502004,3423
1502103,5261
1502152,6000
1502202,3000
1502301,11803
1502400,8000
1502509,
1502608,6000
1502707,0
1502756,6500
1502764,5000
1502772,6000
1502806,9000
1502855,7000
1502905,7000
1502939,9283
1502954,5000
1503002,0
1503044,0
1503077,3037
1503093,6000
1503101,8000
1503200,8401
1503309,5000
1503408,6477
1503457,8053
1503507,5993
1503606,2000
1503705,6088
1503754,2000
1503804,10000
1503903,6000
1504000,6000
1504059,3000
1504109,8000
1504208,6000
1504307,8872
1504406,6551
1504422,
1504455,15000
1504505,6000
1504604,2000
1504703,6500
1504752,6563
1504802,3658
1504901,4394
1504950,10000
1504976,8000
1505007,3469
1505031,5000
1505064,3000
1505106,8000
1505205,6500
1505304,0
1505403,10000
1505437,10800
1505486,6000
1505494,8000
1505502,4817
1505536,6000
1505551,0
1505601,3950
1505635,0
1505650,0
1505700,3867
1505809,10000
1505908,8000
1506005,3000
1506104,0
1506112,10000
1506138,0
1506161,
1506187,7440
1506195,0
1506203,0
1506302,4000
1506351,4700
1506500,10500
1506559,0
1506583,2000
1506609,5123
1506708,
1506807,4000
1506906,0
1507003,7428
1507102,8000
1507151,5000
1507201,5000
1507300,0
1507409,7000
1507458,13000
1507466,6000
1507474,3000
1507508,8640
1507607,12000
1507706,3155
1507755,0
1507805,0
1507904,0
1507953,10000
1507961,6948
1507979,0
1508001,2960
1508035,6000
1508050,4701
1508084,2456
1508100,9000
1508126,7467
1508159,6000
1508209,7140
1508308,6800
1508357,6000
1508407,0
