Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
2023,NC,North Carolina,Cleveland,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,26.2,,,21.5,31.5,"101,378","78,793",37045,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.5554731480207 35.3336676514711)
2023,NC,North Carolina,Burke,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,26.7,,,22.2,31.5,"88,338","72,201",37023,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.70486114808 35.7494843806822)
2023,NC,North Carolina,Alamance,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,23.7,,,19.3,28.3,"179,165","139,859",37001,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-79.3994760246283 36.0436739846115)
2023,NC,North Carolina,Beaufort,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,26,,,21.4,31,"44,481","35,939",37013,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.8589373781447 35.4941226525086)
2023,NC,North Carolina,Caldwell,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,25.5,,,20.4,30.9,"80,574","64,820",37027,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.5466545637271 35.9530956685159)
2023,NC,North Carolina,Anson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,31.7,,,26.7,37,"21,897","17,493",37007,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-80.1026872705448 34.9736529585894)
2023,NC,North Carolina,Buncombe,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,19.2,,,15.4,23.5,"275,901","227,608",37021,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-82.530385679713 35.6109780509856)
2023,NC,North Carolina,Catawba,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,23.2,,,18.7,27.9,"164,645","129,398",37035,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.2149250535504 35.6622179779733)
2023,NC,North Carolina,Bladen,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,29.1,,,24.4,34.3,"29,484","23,400",37017,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.5631528118713 34.6142975484762)
2023,NC,North Carolina,Currituck,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,20.4,,,16.1,25.2,"31,593","24,619",37053,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.0039069482098 36.4032422089498)
2023,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,25.1,,,20.4,29.8,"174,804","137,346",37057,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-80.2126241733172 35.79334763177)
2023,NC,North Carolina,Alexander,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.7,,,20.3,29.9,"36,473","29,341",37003,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.1770332718611 35.9204725331462)
2023,NC,North Carolina,Craven,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,23.6,,,19.4,28.2,"102,391","80,675",37049,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-77.0916632156451 35.1237779325124)
2023,NC,North Carolina,Avery,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,23.8,,,19.1,28.9,"17,561","15,011",37011,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.9225713884377 36.0766997215744)
2023,NC,North Carolina,Ashe,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,23.8,,,19.4,29,"27,063","22,627",37009,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.5005505989795 36.4341479679829)
2023,NC,North Carolina,Alleghany,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,26.8,,,21.8,32.9,"11,342","9,426",37005,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.1272787621881 36.4916227409052)
2023,NC,North Carolina,Carteret,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,19.9,,,15.9,24.5,"69,615","58,070",37031,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.6542732540305 34.8273639547444)
2023,NC,North Carolina,Bertie,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,31.8,,,26.2,38.1,"16,922","14,112",37015,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.9765261847155 36.066157443707)
2023,NC,North Carolina,Chowan,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,27.7,,,22.5,32.9,"13,891","11,123",37041,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.6081998621462 36.1488065523219)
2023,NC,North Carolina,Cumberland,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,25.9,,,21.7,30.4,"337,890","252,626",37051,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.8276708613151 35.0486561560424)
2023,NC,North Carolina,Chatham,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,20.4,,,16.5,24.8,"81,624","66,141",37037,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-79.2552206168112 35.7026752604208)
