geoID,name,acai,units,Data_Value_missing,Municipality,State
1100015,Alta Floresta D'Oeste (RO),6000.0,Quilogramas por Hectare,False,Alta Floresta D'Oeste,RO
1100023,Ariquemes (RO),9167.0,Quilogramas por Hectare,False,Ariquemes,RO
1100031,Cabixi (RO),,Quilogramas por Hectare,True,Cabixi,RO
1100049,Cacoal (RO),,Quilogramas por Hectare,True,Cacoal,RO
1100056,Cerejeiras (RO),,Quilogramas por Hectare,True,Cerejeiras,RO
1100064,Colorado do Oeste (RO),,Quilogramas por Hectare,True,Colorado do Oeste,RO
1100072,Corumbiara (RO),,Quilogramas por Hectare,True,Corumbiara,RO
1100080,Costa Marques (RO),6800.0,Quilogramas por Hectare,False,Costa Marques,RO
1100098,Espigão D'Oeste (RO),,Quilogramas por Hectare,True,Espigão D'Oeste,RO
1100106,Guajará-Mirim (RO),3833.0,Quilogramas por Hectare,False,Guajará-Mirim,RO
1100114,Jaru (RO),7500.0,Quilogramas por Hectare,False,Jaru,RO
1100122,Ji-Paraná (RO),8000.0,Quilogramas por Hectare,False,Ji-Paraná,RO
1100130,Machadinho D'Oeste (RO),,Quilogramas por Hectare,True,Machadinho D'Oeste,RO
1100148,Nova Brasilândia D'Oeste (RO),6000.0,Quilogramas por Hectare,False,Nova Brasilândia D'Oeste,RO
1100155,Ouro Preto do Oeste (RO),8000.0,Quilogramas por Hectare,False,Ouro Preto do Oeste,RO
1100189,Pimenta Bueno (RO),8000.0,Quilogramas por Hectare,False,Pimenta Bueno,RO
1100205,Porto Velho (RO),8240.0,Quilogramas por Hectare,False,Porto Velho,RO
1100254,Presidente Médici (RO),,Quilogramas por Hectare,True,Presidente Médici,RO
1100262,Rio Crespo (RO),,Quilogramas por Hectare,True,Rio Crespo,RO
1100288,Rolim de Moura (RO),6000.0,Quilogramas por Hectare,False,Rolim de Moura,RO
1100296,Santa Luzia D'Oeste (RO),,Quilogramas por Hectare,True,Santa Luzia D'Oeste,RO
1100304,Vilhena (RO),,Quilogramas por Hectare,True,Vilhena,RO
1100320,São Miguel do Guaporé (RO),8000.0,Quilogramas por Hectare,False,São Miguel do Guaporé,RO
1100338,Nova Mamoré (RO),7667.0,Quilogramas por Hectare,False,Nova Mamoré,RO
1100346,Alvorada D'Oeste (RO),,Quilogramas por Hectare,True,Alvorada D'Oeste,RO
1100379,Alto Alegre dos Parecis (RO),,Quilogramas por Hectare,True,Alto Alegre dos Parecis,RO
